DATE,Food,Smoke,Drugs,MedEq,Telcm
193701,2.58,2.64,3.01,15.87,-0.85
193702,2.52,-1.88,-4.13,6.13,-3.06
193703,1.88,-6.73,-5.03,-5.06,-2.09
193704,-7.46,-4.14,-3.38,-1.98,-5.25
193705,-0.2,0.03,1.86,-2.16,1.53
193706,-2.92,-1.77,-3.93,-8.41,1.39
193707,3.7,7.16,4.05,5.87,3.27
193708,-1.96,-2.18,1.49,-6.34,-2.54
193709,-11.13,-3.86,-10.81,-9.81,-2.1
193710,-7.26,-4.41,-3.58,-2.99,-5.36
193711,-5.02,-4.76,-5,-7.5,-3.59
193712,-2.99,-0.63,-1.55,-20.02,-1.54
193801,3.52,0.49,3.44,5.4,-2.43
193802,4.38,1.59,8.99,-0.97,-2.32
193803,-16.04,-12.31,-14.23,-20.46,-17.44
193804,13.1,10.13,11.63,17.66,13.47
193805,-0.3,1.65,1.74,0.94,0.83
193806,12.89,11.36,9.79,18.22,12.42
193807,5.13,7.69,5.72,8.06,1.28
193808,-4.47,-2.15,0.51,-3.72,0.28
193809,-0.28,1.34,0.1,-3.27,0.85
193810,5.25,3.77,5.31,14.81,3.56
193811,-2.63,-1.19,1.5,-0.12,0.65
193812,2.56,2.9,0.95,-1.71,2.57
193901,-2.01,-1.84,-0.87,-3.3,1.81
193902,3.42,-0.35,3.82,0.93,3.53
193903,-5.64,-4.13,-4.32,-4.58,-2.21
193904,1.25,-0.73,0.96,2.18,2.75
193905,6.29,4.03,5.44,7,5.56
193906,-3.16,-0.08,1.29,-4.48,-3.79
193907,6.94,3.79,3.05,4.1,6.51
193908,-7.37,-6.51,-5.22,-12.29,-4.19
193909,5.02,-3.03,7,9.49,2.37
193910,3,5.8,0.01,7,3.05
193911,-0.62,1.75,1.33,-2,0.97
193912,2.77,4.83,3.91,-0.94,2.87
194001,2.07,2.33,-1.88,1.42,-0.12
194002,0.84,1.81,1.55,-0.59,1.04
194003,2.41,0.63,1.83,4.28,1.16
194004,1.59,2.15,-0.32,-0.14,0.33
194005,-22.15,-17.72,-21.36,-16.08,-14.13
194006,5.32,5.95,5.12,-1.53,8.72
194007,0.56,-1.64,-0.55,0.49,1.97
194008,1.11,1.23,-2.31,-1.44,-0.36
194009,1.89,2.38,4.67,2.62,1.66
194010,-1.28,-3.24,-3.14,1.95,1.61
194011,-0.87,-2.51,-1.93,1.86,0.61
194012,0.91,0.62,-0.23,-0.28,2.04
194101,-1,1.16,-2.52,8.5,-2.1
194102,-2.82,-2.32,-4.74,-3.33,-2.23
194103,2.25,-2.76,1.72,3.37,1.78
194104,-4.13,-3.84,-5.36,-1.43,-6.35
194105,-0.53,-2.97,-1.61,3.05,0.4
194106,3.83,10.15,6.87,2.76,5.04
194107,6.2,2.67,7.74,16,-0.38
194108,1.36,-0.74,0.14,-1.45,1.06
194109,2.84,0.46,-0.2,-0.41,0.25
194110,-4.64,-13.04,-3.73,-2.5,-2.72
194111,-1.17,-9.61,-3.02,-0.56,-4.03
194112,-5.51,-0.93,-1.33,-8.16,-8.59
194201,0.48,6.78,-3.43,9.44,-1.37
194202,-5.81,-4.3,-5.52,-1.29,-0.57
194203,-8.08,-13.19,-5.86,1.96,-6.91
194204,-2.09,-5.45,-4.52,-2.91,-7.32
194205,7.86,13.12,15.27,2.04,7.72
194206,4.78,2.12,2.82,3.79,-2.23
194207,1.72,1.96,1.42,6.14,4.48
194208,1.87,-2.4,1.95,14.35,2.49
194209,0.87,-3.52,0.24,0.65,2.04
194210,4.49,5.45,3.91,9.27,6.19
194211,4.32,-1.25,1.61,1.01,2.63
194212,3.35,6.25,8.86,5.25,0.35
194301,8.71,12.28,1.9,15.14,3.78
194302,4.39,0.34,3.94,-2.2,8.81
194303,4.57,2.97,4.1,14.34,0.62
194304,1.24,1.12,0.97,9.55,4.16
194305,6.38,6.32,4.95,8.41,4.57
194306,1.08,1.95,0.47,1.03,2.27
194307,0.43,-3.92,-2.93,-8.94,-0.18
194308,0.39,1.04,0.39,-2.14,0.91
194309,1.89,2.19,3.86,7.03,1.45
194310,-0.22,-2.11,0.5,1.88,0.73
194311,-4.27,-6.13,-3.95,-3.59,-1.74
194312,5.26,6.2,3.42,13.22,3.14
194401,3.25,6.66,0.27,0.56,0.86
194402,-0.15,-1.17,-2.59,-3.49,0.88
194403,2.34,2.39,2.41,3.29,0.74
194404,-2.6,-0.61,-2.35,-2.43,-0.57
194405,5.16,5.19,5.71,5.07,2.83
194406,4.69,8.29,3.85,3.84,3.21
194407,0.24,-0.51,-1.39,1.46,-0.37
194408,2.07,2.59,1.01,-3.67,0.67
194409,0.99,-4.61,0.27,3.4,0.27
194410,0.23,-0.32,1.25,-1.83,0.75
194411,1.63,-0.2,0.28,4.96,0.7
194412,2.14,0.51,1.48,5.72,0.72
194501,2.75,2.51,0.07,9.11,-2.11
194502,2.49,6.51,4.43,1.33,2.85
194503,-2.97,-3.51,-1.81,-1.99,-0.11
194504,5.65,7.82,6.39,5.29,2.51
194505,2.32,2.42,4.3,0.93,3.76
